destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Santiago de Chile,Chile,Excursión a la estación de esquí El Portillo y la Laguna del Inca,"65.483,19 CL$",CLP,1 opinión,15 viajeros,Lucero Travel,administracion@lucerotravelchile.cl,+56964461423,"Razón social: Sociedad Lucero Travel Chile Limitada | Domicilio Social: Santa Lucia 344, OF 42, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-portillo-laguna-inca/,2026-01-29
Santiago de Chile,Chile,Tour por Patronato y Bellavista,"32.741,59 CL$",CLP,36 opiniones,431 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-patronato-bellavista/,2026-01-29
Santiago de Chile,Chile,Free tour por el barrio de Providencia,¡Gratis!,CLP,78 opiniones,2.053 viajeros,Urbantours Spa,Chileurbantour@gmail.com,+56962152383,"Razón social: Aquino & Fernandez de la Reguera | Domicilio Social: Monjitas 550, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-barrio-providencia/,2026-01-29
Santiago de Chile,Chile,Visita a la viña Cousiño Macul,69.000 CL$,CLP,7 opiniones,163 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-vina-cousino-macul/,2026-01-29
Santiago de Chile,Chile,Free tour por los mercados de Santiago,¡Gratis!,CLP,158 opiniones,3.424 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-mercados-santiago/,2026-01-29
Santiago de Chile,Chile,Free tour por Santiago + Cambio de Guardia en el Palacio de La Moneda,¡Gratis!,CLP,51 opiniones,2.925 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago-cambio-guardia/,2026-01-29
Santiago de Chile,Chile,Tour por el cerro San Cristóbal,"41.836,48 CL$",CLP,53 opiniones,676 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-cerro-san-cristobal/,2026-01-29
Santiago de Chile,Chile,Excursión al Valle Nevado al atardecer,"66.439,96 CL$",CLP,34 opiniones,499 viajeros,Lc Turismo,b2b@smart-tour.cl,+56977532587,"Razón social: LUCAS CARVALHO TURISMO LTDA | Domicilio Social: 3-21 RUA JOSE ARIEDE, Bauru, Brasil | Razón social: TRANSPORTE Y TURISMO SMART TOUR SPA | Domicilio Social: RUA BELA VISTA 121, Cacador, Brasil",https://www.civitatis.com/es/santiago-de-chile/excursion-valle-nevado-atardecer/,2026-01-29
Santiago de Chile,Chile,Excursión a las termas de Valle de Colina,65.000 CL$,CLP,46 opiniones,435 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-termas-valle-colina/,2026-01-29
Santiago de Chile,Chile,Tour de la dictadura de Pinochet,79.000 CL$,CLP,27 opiniones,250 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-dictadura-pinochet/,2026-01-29
Santiago de Chile,Chile,Excursión privada desde Santiago de Chile,320.990 CL$,CLP,7 opiniones,240 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-privada-santiago/,2026-01-29
Santiago de Chile,Chile,"Excursión a Isla Negra, Pomaire y Viña Undurraga",140.000 CL$,CLP,7 opiniones,105 viajeros,Atacama Extrema Spa,mdote@atacamaextrema.cl,+56 9 8483 3427,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/isla-negra-pomaire-vina-undurraga/,2026-01-29
Santiago de Chile,Chile,Tour en bicicleta por Santiago,"38.198,53 CL$",CLP,18 opiniones,138 viajeros,La Bicicleta Verde,info@labicicletaverde.com,+56 9 7215 6961,"Razón social: 432 SPA | Domicilio Social: Calle Hurfanos 1147, of 601, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-bicicleta-santiago/,2026-01-29
Santiago de Chile,Chile,Excursión a Isla Negra y San Alfonso del Mar,150.000 CL$,CLP,8 opiniones,130 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/isla-negra-algarrobo-vina-indomita/,2026-01-29
Santiago de Chile,Chile,Tour de compras por el Outlet Buenaventura,55.000 CL$,CLP,6 opiniones,68 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-compras-outlets/,2026-01-29
Santiago de Chile,Chile,Excursión a la Laguna del Inca y la Viña Sánchez de Loria,120.000 CL$,CLP,13 opiniones,115 viajeros,Atacama Extrema Spa,mdote@atacamaextrema.cl,+56 9 8483 3427,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/laguna-inca-vina-sanchez-loria/,2026-01-29
Santiago de Chile,Chile,Tour por el Mercado de las Pulgas,"19.099,26 CL$",CLP,9 opiniones,62 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-mercado-pulgas/,2026-01-29
Santiago de Chile,Chile,Excursión a las viñas del Valle de Colchagua,250.000 CL$,CLP,2 opiniones,64 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-vinas-valle-colchagua/,2026-01-29
Santiago de Chile,Chile,Visita a la viña Haras de Pirque,78.000 CL$,CLP,7 opiniones,143 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-vina-haras-de-pirque/,2026-01-29
Santiago de Chile,Chile,Excursión a Pomaire y el Parque Tricao,125.000 CL$,CLP,2 opiniones,44 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-pomaire-parque-tricao/,2026-01-29
Santiago de Chile,Chile,Tour por Santiago + Museo Histórico Nacional,"81.853,99 CL$",CLP,Sin valorar,20 viajeros,Lucero Travel,administracion@lucerotravelchile.cl,+56964461423,"Razón social: Sociedad Lucero Travel Chile Limitada | Domicilio Social: Santa Lucia 344, OF 42, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-santiago-museo-historico-nacional/,2026-01-29
Santiago de Chile,Chile,Tour en patinete eléctrico por el Cerro San Cristóbal,"59.116,77 CL$",CLP,4 opiniones,15 viajeros,Rollin,rollinchile@gmail.com,944122110,"Razón social: Rollin Chile SPA | Domicilio Social: exequiel fernandez 90, depto 1104, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-patinete-electrico-cerro-san-cristobal/,2026-01-29
Santiago de Chile,Chile,Tour nocturno por los bares de Santiago de Chile,69.000 CL$,CLP,10 opiniones,70 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-alternativo-nocturno-santiago/,2026-01-29
Santiago de Chile,Chile,"Cascada Invertida, Muela del Diablo y Parque Nacional Siete Tazas en 2 días",280.000 CL$,CLP,Sin valorar,15 viajeros,Atacama Extrema Spa,mdote@atacamaextrema.cl,+56 9 8483 3427,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/cascada-invertida-muela-diablo-siete-tazas/,2026-01-29
Santiago de Chile,Chile,Visita guiada por Sanhattan,"44.564,95 CL$",CLP,Sin valorar,10 viajeros,Unplanned Detours,hola@unplannedetours.com,+56232107697,"Razón social: Unplanned Detours SPA | Domicilio Social: Badajoz 100 OF 1014 PS 10, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-guiada-sanhattan/,2026-01-29
Santiago de Chile,Chile,Tour por las iglesias de Santiago,"18.189,77 CL$",CLP,Sin valorar,13 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-iglesias-santiago/,2026-01-29
Santiago de Chile,Chile,Tour por el Museo de Arte Precolombino y el Museo Histórico Nacional,"41.836,48 CL$",CLP,Sin valorar,13 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-museo-precolombino-museo-historico-nacional/,2026-01-29
Santiago de Chile,Chile,Tour en segway por Santiago de Chile,"72.759,10 CL$",CLP,3 opiniones,13 viajeros,So Happy Tours,aordonez@sohappytours.cl,+56997240690,"Razón social: SO HAPPY SPA | Domicilio Social: El Arcangel 5148 depto 25, Vitacura, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-segway-santiago-chile/,2026-01-29
Santiago de Chile,Chile,Escalada en el Cajón del Maipo,221.000 CL$,CLP,Sin valorar,6 viajeros,Hike Chile,info@hikechile.cl,+56991362679,"Razón social: Sebastian Navarro Cox | Domicilio Social: padre hurtado sur 1321 depto 185, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/escalada-cajon-maipo/,2026-01-29
Santiago de Chile,Chile,Tour por la Viña Cousiño Macul y el Templo Bahaí,80.000 CL$,CLP,9 opiniones,113 viajeros,Atacama Extrema Spa,mdote@atacamaextrema.cl,+56 9 8483 3427,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-cousino-macul-templo-bahai/,2026-01-29
Santiago de Chile,Chile,Tour del Estadio Monumental,68.000 CL$,CLP,4 opiniones,90 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-estadio-monumental/,2026-01-29
Santiago de Chile,Chile,Excursión al Parque Tricao y Viña Undurraga,127.000 CL$,CLP,Sin valorar,2 viajeros,Turistik Cl,jpfassi@turistik.cl,0056 228 201 000,"Razón social: TURISTIK S.A | Domicilio Social: ENCOMENDEROS 260 11, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-parque-tricao/,2026-01-29
Santiago de Chile,Chile,Visita guiada por el Cementerio General de Santiago,20.000 CL$,CLP,Novedad,2 viajeros,Zehndertour,aliceanb@gmail.com,+56945386408,"Razón social: Gustavo Isaac Zehnder Sady | Domicilio Social: Alonso de Ovalle 884 DP 301, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-guiada-cementerio-general/,2026-01-29
Santiago de Chile,Chile,Excursión a caballo por el Cajón del Maipo,"241.924,02 CL$",CLP,Novedad,,Casa Bosque Expediciones,expediciones@casabosque.com,56995630724,"Razón social: Casa Bosque Expediciones Spa | Domicilio Social: Camino el Volcán 16829, San José de Maipo, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-embalse-yeso-paseo-caballo/,2026-01-29
Santiago de Chile,Chile,Ruta privada de rafting en el río Maipo,"442.011,56 CL$",CLP,Novedad,,G Bike Tours,gbiketours@gmail.com,982684784,"Razón social: Excursiones Gabriel Valderrama EIRL | Domicilio Social: Camino al Volcan 9716, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/rafting-rio-maipo/,2026-01-29
Santiago de Chile,Chile,Excursión a San José de Maipo + El Morado Lodge,179.000 CL$,CLP,Sin valorar,,Turistik Cl,jpfassi@turistik.cl,0056 228 201 000,"Razón social: TURISTIK S.A | Domicilio Social: ENCOMENDEROS 260 11, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/san-jose-maipo-morado-lodge/,2026-01-29
Santiago de Chile,Chile,Tour en bicicleta por Viña Santa Rita,107.000 CL$,CLP,Sin valorar,2 viajeros,Turistik Cl,jpfassi@turistik.cl,0056 228 201 000,"Razón social: TURISTIK S.A | Domicilio Social: ENCOMENDEROS 260 11, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-bicicleta-vina-santa-rita/,2026-01-29
Santiago de Chile,Chile,Visita guiada por el Museo Histórico y Militar de Chile,"18.246,24 CL$",CLP,1 opinión,10 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-guiada-museo-historico-militar-chile/,2026-01-29
Santiago de Chile,Chile,Taller de artesanía textil mapuche,75.000 CL$,CLP,Sin valorar,,Rustica Telar,rusticatelar@gmail.com,991671720,"Razón social: AURORA LUCRECIA DE LOS VALENZUELA DURRET | Domicilio Social: el alba 2 condominio chicureo 1, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/taller-artesania-textil-mapuche/,2026-01-29
Santiago de Chile,Chile,Trekking por el Cajón del Maipo,"138.671,43 CL$",CLP,Novedad,2 viajeros,Casa Bosque Expediciones,expediciones@casabosque.com,56995630724,"Razón social: Casa Bosque Expediciones Spa | Domicilio Social: Camino el Volcán 16829, San José de Maipo, Chile",https://www.civitatis.com/es/santiago-de-chile/trekking-cajon-maipo/,2026-01-29
Santiago de Chile,Chile,Tour de nieve por Farellones y Valle Nevado,32.000 CL$,CLP,246 opiniones,2.834 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-nieve-valle-nevado-farellones/,2026-01-29
Santiago de Chile,Chile,Excursión al Parque de Farellones con entradas,120.000 CL$,CLP,12 opiniones,430 viajeros,Atacama Extrema Spa,mdote@atacamaextrema.cl,+56 9 8483 3427,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-parque-farellones/,2026-01-29
Santiago de Chile,Chile,"Excursión privada a Farellones, Colorado y La Parva",208.340 CL$,CLP,17 opiniones,354 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-farellones-colorado-parva/,2026-01-29
